payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
4453915,69379590,247200,3720,ONLINE,PAID
4453917,69379610,105600,1600,ONLINE,PAID
4453919,69379648,135560,2040,ONLINE,PAID
4453928,69379810,63600,960,ONLINE,PAID
4453929,69379810,40000,0,VOUCHER,PAID
4453933,69379871,532800,7440,ONLINE,PAID
4454085,69379881,210800,3160,CREDIT,PAID
4453946,69379928,228000,2960,ONLINE,PAID
4453950,69380051,481600,13000,ONLINE,PAID
4453954,69380346,277200,3600,ONLINE,PAID
4453956,69380403,415600,8320,ONLINE,PAID
4453957,69380531,271200,7320,ONLINE,PAID
4453961,69380728,107600,1600,ONLINE,PAID
4453964,69380758,175200,2640,ONLINE,PAID
4453966,69380789,107200,1600,ONLINE,PAID
4453967,69380935,139600,2080,ONLINE,PAID
4454119,69381021,314800,4080,DEBIT,PAID
4453972,69381092,280000,3920,ONLINE,PAID
4453973,69381093,160000,2400,ONLINE,PAID
4454229,69381227,757800,10240,DEBIT,PAID
4453975,69381253,99600,1480,ONLINE,PAID
4453979,69381285,383600,5760,ONLINE,PAID
4454379,69381296,411200,6160,DEBIT_STORE,PAID
4453980,69381297,256000,3840,ONLINE,PAID
4453992,69381475,858000,12880,ONLINE,PAID
4453990,69381530,803200,21680,ONLINE,PAID
4453994,69381537,251600,3760,ONLINE,PAID
4453996,69381540,247200,6680,ONLINE,PAID
4456457,69381579,187200,2800,STORE_DIRECT_PAYMENT,PAID
4454004,69381589,242800,3640,ONLINE,PAID
4454007,69381612,410800,6160,ONLINE,PAID
4454015,69381716,246800,6680,ONLINE,PAID
4454021,69381925,969600,26160,ONLINE,PAID
4454023,69381961,311200,4680,ONLINE,PAID
4454055,69382016,197600,0,VOUCHER_DC,PAID
4454025,69382019,163600,2440,ONLINE,PAID
4454026,69382019,80000,0,VOUCHER,PAID
4454254,69382022,143200,2160,DEBIT,PAID
4454032,69382069,540000,8120,ONLINE,PAID
4454036,69382115,209600,3160,ONLINE,PAID
4454039,69382253,99600,1480,ONLINE,PAID
4454250,69382819,103200,0,MEAL_BENEFIT,PAID
4454047,69382959,347200,9360,ONLINE,PAID
4454050,69383023,306800,4600,ONLINE,PAID
4454052,69383079,64000,960,ONLINE,PAID
4454060,69383322,131560,1960,ONLINE,PAID
4454070,69383528,167200,2360,ONLINE,PAID
4454077,69383673,197600,5320,ONLINE,PAID
4454079,69383682,436800,6560,ONLINE,PAID
4454087,69383682,436840,6560,ONLINE,PAID
4454088,69383917,226800,4520,ONLINE,PAID
4454089,69383920,263600,3960,ONLINE,PAID
4454094,69384223,168400,2360,ONLINE,PAID
4454095,69384224,783200,21160,ONLINE,PAID
4454456,69384244,135560,0,MEAL_BENEFIT,PAID
4454108,69384293,463920,9280,ONLINE,PAID
4454100,69384324,118800,1680,ONLINE,PAID
4454102,69384338,115200,1720,ONLINE,PAID
4454110,69384424,379200,10240,ONLINE,PAID
4454112,69384438,470400,12720,ONLINE,PAID
4454113,69384446,161600,2440,ONLINE,PAID
4454115,69384455,48000,0,VOUCHER,PAID
4454339,69384455,75600,1120,DEBIT,PAID
4454387,69384580,373600,5600,STORE_DIRECT_PAYMENT,PAID
4454121,69384595,262800,3400,ONLINE,PAID
4454122,69384603,287200,7760,ONLINE,PAID
4454123,69384713,123200,1840,ONLINE,PAID
4454127,69384753,143200,2160,ONLINE,PAID
4454131,69384936,595600,11920,STORE_DIRECT_PAYMENT,PAID
4454132,69384975,608800,16440,ONLINE,PAID
4454133,69385059,175200,2280,ONLINE,PAID
4455358,69385227,243200,0,MEAL_BENEFIT,PAID
4455365,69385227,360,0,VOUCHER_OL,PAID
4454137,69385298,271200,7320,ONLINE,PAID
4454140,69385821,135200,2040,ONLINE,PAID
4454141,69385821,40000,0,VOUCHER,PAID
4454145,69386053,164800,2320,ONLINE,PAID
4454158,69386813,71600,1080,ONLINE,PAID
4454159,69386813,48000,0,VOUCHER,PAID
4454160,69386876,115800,1720,ONLINE,PAID
4454161,69386918,131200,1720,ONLINE,PAID
4454162,69386918,120000,0,VOUCHER,PAID
